,Unnamed: 0,Time,X_velocity,Y_velocity,Z_velocity,X_angular,Y_angular,Z_angular,X_acceleration,Y_acceleration,Z_acceleration,Vertical_Speed,Pitch,Bank,Yaw,IAS,Greyout,IOP,Blood_Pressure,Temperature,Breath,SPO2,OPP
0,0,0.018,-73.05202484,0.0,135.759964,0.0,0.0,0.0,0.116670735,0.993170679,0.0,0.0,0.110131375,0.0,8.347640514,132.4034576,0,13.531576960522571,109.42656129387852,36.453354013867965,16.29258231874251,97.21587859200126,95.89498433335595
1,1,0.034,-73.05191803,0.002908489,135.7597656,8.7e-06,1.94e-05,-0.010547061,0.126063809,0.99411428,5.27e-06,0.002908489,0.116810501,7.7e-08,2.06619978,132.4034576,0,13.53499787120649,109.42357478712059,36.45335503671507,16.2927724541592,97.21530910063436,95.8885769159141
2,2,0.059,-73.05183411,0.00581702,135.7595978,1.74e-05,3.89e-05,-0.021094123,0.126013085,0.994113564,5.23e-06,0.00581702,0.116473027,2.82e-07,2.06619978,132.4034576,0,13.534829912490721,109.42357705325418,36.45335617403465,16.292772309873765,97.21530953276431,95.88874714076346
3,3,0.11,-73.06106567,-0.044868909,135.7758026,9.53e-05,-3.63e-05,-0.019915968,0.136134565,0.900974214,0.000758134,-0.044868909,0.115244374,3.85e-06,2.06619978,132.4060364,0,13.526199170835177,109.71853708720928,36.45337519995416,16.27419674360676,97.27147011972633,96.1923379163741
4,4,0.12,-73.06419373,-0.062479243,135.7812958,0.000120576,-6.03e-05,-0.019496707,0.136136666,0.900974274,0.000758037,-0.062479243,0.114851102,6.18e-06,2.066200733,132.407547,0,13.525971259339851,109.71853689708519,36.453381413545664,16.27422343970923,97.27145893883774,96.19256563774533
5,5,0.131,-73.06419373,-0.062479243,135.7812958,0.000120576,-6.03e-05,-0.019496707,0.136136666,0.900974274,0.000758037,-0.062479243,0.114851102,6.18e-06,2.066200733,132.407547,0,13.525971259339851,109.71853689708519,36.453381413545664,16.27422343970923,97.27145893883774,96.19256563774533
6,6,0.142,-73.06733704,-0.081071302,135.7868195,0.000145327,-8.24e-05,-0.019044355,0.135298997,0.896082103,0.000771422,-0.081071302,0.114466637,9.05e-06,2.066202164,132.4093933,0,13.525331378144115,109.73403936853487,36.453387177875534,16.273286107965742,97.2743943477961,96.20870799039075
7,7,0.154,-73.06733704,-0.081071302,135.7868195,0.000145327,-8.24e-05,-0.019044355,0.135298997,0.896082103,0.000771422,-0.081071302,0.114466637,9.05e-06,2.066202164,132.4093933,0,13.525331378144115,109.73403936853487,36.453387177875534,16.273286107965742,97.2743943477961,96.20870799039075
8,8,0.176,-73.07051086,-0.099665783,135.7923889,0.000170092,-0.000104561,-0.018592002,0.135301232,0.896082103,0.000771325,-0.099665783,0.114091203,1.25e-05,2.066204071,132.4115448,0,13.525111922944115,109.73403936853487,36.45339309345892,16.273324113433628,97.27437847472366,96.20892744559075
9,9,0.197,-73.07369995,-0.119153224,135.7979889,0.000194577,-0.000124565,-0.018113105,0.134541899,0.891628206,0.000790695,-0.119153224,0.113725141,1.64e-05,2.066206455,132.4139862,0,13.524518072876395,109.74815385238662,36.45339860739605,16.27248489016025,97.27704514195956,96.22363577951023
10,10,0.219,-73.07692719,-0.138643011,135.8036346,0.000219074,-0.000144571,-0.017634207,0.134544253,0.891628265,0.000790598,-0.138643011,0.113368638,2.09e-05,2.066209316,132.416687,0,13.52430755399599,109.74815366540926,36.453404310827395,16.2725326104975,97.27702518076656,96.22384611141327
11,11,0.242,-73.08342743,-0.179226011,135.8150177,0.000266356,-0.000180147,-0.016636258,0.13386783,0.887630939,0.000813783,-0.179226011,0.112685271,3.15e-05,2.066215992,132.4228363,0,13.523560784026476,109.7608219397014,36.45341508818553,16.271849905180318,97.27938915729311,96.23726115567493
12,12,0.264,-73.0867157,-0.200232178,135.820755,0.000289178,-0.000195465,-0.016123325,0.133265242,0.88406384,0.00083766,-0.200232178,0.112358734,3.75e-05,2.066219807,132.426239,0,13.52306115156318,109.77212728095407,36.453420285057554,16.271204306356395,97.28151398112729,96.24906612939088
13,13,0.286,-73.09002686,-0.221240491,135.8265381,0.000312006,-0.000210784,-0.01561039,0.133267716,0.8840639,0.000837567,-0.221240491,0.112042442,4.4e-05,2.066223621,132.4298401,0,13.522869899067855,109.77212709078955,36.453425595230826,16.271267930349662,97.2814873772122,96.2492571917217
14,14,0.307,-73.09335327,-0.242871791,135.8323364,0.000334671,-0.000223842,-0.0150888,0.132742211,0.880945861,0.000860981,-0.242871791,0.111736521,5.1e-05,2.066227913,132.4336395,0,13.522418398282719,109.78200962372676,36.45343064817281,16.270718530780734,97.28333854268932,96.25959122544404
